     1	EVERLY BROTHERS 	ON THE WINGS OF A NIGHTINGALE 	41 	443
     2	GRANDMASTER MELLE MEL AND THE FURIOUS FIVE 	BEAT STREET BREAKDOWN 	42 	395
     3	JULIO IGLESIAS AND DIANA ROSS 	ALL OF YOU 	43 	373
     4	MATT BIANCO 	SNEAKING OUT THE BACKDOOR/MATT'S MOOD 	44 	352
     5	THELMA HOUSTON 	YOU USED TO HOLD ME SO TIGHT 	49 	345
     6	ODYSSEY 	MAGIC TOUCH {1984} 	43 	337
     7	KEN BARRIE 	POSTMAN PAT 	44 	332
     8	LLOYD COLE AND THE COMMOTIONS 	FOREST FIRE 	41 	309
     9	MIKE OLDFIELD AND MAGGIE REILLY 	TO FRANCE 	48 	307
    10	KLAXONS 	THE CLAP CLAP SOUND 	45 	299
    11	ASSOCIATES 	THOSE FIRST IMPRESSIONS 	43 	298
    12	BLACK UHURU 	WHAT IS LIFE? 	56 	294
    13	RICK SPRINGFIELD 	JESSIE'S GIRL 	43 	292
    14	CLANNAD 	ROBIN (THE HOODED MAN) 	42 	283
    15	FARMER'S BOYS 	IN THE COUNTRY 	44 	282
    16	BOBBY G 	BIG DEAL (THEME) 	46 	281
    17	ADAM ANT 	STRIP 	41 	281
    18	THIS ISLAND EARTH 	SEE THAT GLOW 	47 	277
    19	DIANA ROSS 	TOUCH BY TOUCH 	47 	277
    20	GEORGE BENSON 	INSIDE LOVE 	57 	276
    21	CHAS AND DAVE 	MY MELANCHOLY BABY 	51 	276
    22	REDSKINS 	KEEP ON KEEPIN' ON 	43 	274
    23	LOOSE ENDS 	EMERGENCY (DIAL 999) 	41 	273
    24	JULIAN LENNON 	VALOTTE 	55 	273
    25	BUCKS FIZZ 	RULES OF THE GAME 	57 	273
    26	PAT BENATAR 	LOVE IS A BATTLEFIELD 	49 	269
    27	KEVIN THE GERBIL 	SUMMER HOLIDAY 	50 	269
    28	FOSTER & ALLEN 	JUST FOR OLD TIME'S SAKE 	47 	269
    29	TALK TALK 	SUCH A SHAME 	49 	268
    30	MIKE POST 	THE 'A' TEAM 	45 	266
    31	ELVIS PRESLEY 	THE LAST FAREWELL 	48 	266
    32	WORLD FAMOUS SUPREME TEAM 	HEY DJ 	52 	264
    33	WAS (NOT WAS) 	OUT COME THE FREAKS 	41 	263
    34	LEE GREENWOOD 	THE WIND BENEATH MY WINGS 	49 	263
    35	PETER SCHILLING 	MAJOR TOM (COMING HOME) 	42 	261
    36	PAUL HARDCASTLE 	RAIN FOREST 	41 	261
    37	TINA TURNER 	BETTER BE GOOD TO ME 	45 	257
    38	LEVEL 42 	THE CHANT HAS BEGUN 	41 	257
    39	FRIDA AND BA ROBERTSON 	TIME 	45 	254
    40	IAN MCCULLOCH 	SEPTEMBER SONG 	51 	251
    41	COOL NOTES 	YOU'RE NEVER TOO YOUNG 	42 	247
    42	CYNDI LAUPER 	SHE BOP 	46 	246
    43	BARBARA MASON 	ANOTHER MAN 	45 	242
    44	VICIOUS PINK 	CCCAN'T YOU SEE... 	67 	240
    45	TOYAH 	THE VOW 	50 	240
    46	DAVID ESSEX 	YOU'RE IN MY HEART 	59 	240
    47	JULIAN COPE 	THE GREATNESS AND PERFECTION OF LOVE 	52 	239
    48	NIK KERSHAW 	I WON'T LET THE SUN GO DOWN ON ME 	47 	238
    49	TALK TALK 	IT'S MY LIFE 	46 	235
    50	DARYL HALL AND JOHN OATES 	OUT OF TOUCH 	48 	232
    51	TWISTED SISTER 	WE'RE NOT GONNA TAKE IT 	58 	229
    52	THOMAS DOLBY 	I SCARE MYSELF 	46 	228
    53	ASTRUD GILBERTO 	THE GIRL OF IPANEMA 	55 	228
    54	QUESTIONS 	TUESDAY SUNSHINE 	46 	227
    55	ARROW 	HOT HOT HOT 	59 	225
    56	GARY MOORE 	EMPTY ROOMS 	51 	224
    57	DENNIS EDWARDS AND SIEDAH GARRETT 	DON'T LOOK ANY FURTHER 	45 	221
    58	BOURGIE BOURGIE 	BREAKING POINT 	48 	221
    59	CHRIS DE BURGH 	HIGH ON EMOTION 	44 	218
    60	QUIET RIOT 	METAL HEALTH/CUM ON FEEL THE NOIZE 	45 	217
    61	XTC 	ALL YOU PRETTY GIRLS 	55 	215
    62	NICK HEYWARD 	ON A SUNDAY 	52 	214
    63	STEVIE WONDER 	LOVE LIGHT IN FLIGHT 	44 	213
    64	J BLACKFOOT 	TAXI 	48 	209
    65	AFRIKA BAMBAATAA AND JAMES BROWN 	UNITY 	49 	208
    66	PRINCE 	I WOULD DIE 4 YOU 	58 	207
    67	MARC ALMOND 	THE BOY WHO CAME BACK 	52 	207
    68	MALCOLM MCLAREN 	DUCK FOR THE OYSTER 	54 	207
    69	JB'S ALL STARS 	BACKFIELD IN MOTION 	48 	205
    70	INTRUDERS 	WHO DO YOU LOVE 	65 	205
    71	SOS BAND 	WEEKEND GIRL 	51 	204
    72	HAZELL DEAN 	BACK IN MY ARMS (ONCE AGAIN) 	41 	204
    73	SHRIEKBACK 	HAND ON MY HEART 	52 	203
    74	NINO DE ANGELO 	GUARDIAN ANGEL 	57 	203
    75	PAUL HARDCASTLE 	YOU'RE THE ONE FOR ME/DAYBREAK/AM 	41 	200
    76	COLOUR FIELD 	THE COLOUR FIELD 	43 	198
    77	CAROL LYNN TOWNES 	99 ½ 	47 	198
    78	KILLING JOKE 	EIGHTIES 	60 	195
    79	FONDA RAE 	TOUCH ME 	49 	194
    80	SWANS WAY 	ILLUMINATIONS 	57 	192
    81	MEAT LOAF 	NOWHERE FAST 	67 	188
    82	DAMNED 	THANKS FOR THE NIGHT 	43 	188
    83	RONI GRIFFITH 	(THE BEST PART OF) BREAKIN' UP {1984} 	63 	186
    84	ALARM 	THE CHANT HAS JUST BEGUN 	48 	186
    85	M AND M 	BLACK STATIONS WHITE STATIONS 	46 	185
    86	ROLLING STONES 	SHE WAS HOT 	42 	183
    87	ADVENTURES 	SEND MY HEART 	62 	183
    88	GRANDMASTER MELLE MEL AND THE FURIOUS FIVE 	WE DON'T WORK FOR FREE 	45 	182
    89	PRIVATE LIVES 	LIVING IN A WORLD (TURNED UPSIDE DOWN) 	53 	181
    90	DAVID GRANT 	ROCK THE MIDNIGHT 	46 	181
    91	ABC 	(HOW TO BE A) MILLIONAIRE 	49 	181
    92	CAPTAIN SENSIBLE 	THERE ARE MORE SNAKES THAN LADDERS 	57 	179
    93	BUCKS FIZZ 	GOLDEN DAYS 	42 	179
    94	DIRECT DRIVE 	ANYTHING 	67 	178
    95	DAYTON 	THE SOUND OF MUSIC 	75 	178
    96	CHANGE 	YOU ARE MY MELODY 	48 	178
    97	YVONNE GAGE 	DOIN' IT IN A HAUNTED HOUSE 	45 	175
    98	YES 	LEAVE IT 	56 	175
    99	BRASS CONSTRUCTION 	PARTYLINE 	56 	175
   100	ORANGE JUICE 	WHAT PRESENCE? 	47 	172
   101	MIRAGE 	GIVE ME THE NIGHT 	49 	172
   102	KEITH HARRIS AND ORVILLE 	COME TO MY PARTY 	44 	172
   103	KANE GANG 	SMALLTOWN CREED 	60 	172
   104	KAJAGOOGOO 	TURN YOUR BACK ON ME 	47 	171
   105	GRANDMIXER 	CRAZY CUTS 	71 	171
   106	DAVID BOWIE 	TONIGHT 	53 	170
   107	MADONNA 	BORDERLINE 	56 	169
   108	HERREYS 	DIGGI LOO DIGGI LEY 	46 	166
   109	ASSOCIATES 	WAITING FOR THE LOVEBOAT 	53 	166
   110	ANN BREEN 	PAL OF MY CRADLE DAYS 	69 	166
   111	ALARM 	THE DECEIVER 	51 	166
   112	ROCK STEADY CREW 	UPROCK 	64 	165
   113	FATBACK BAND 	I FOUND LOVIN' 	49 	165
   114	LJ REYNOLDS 	DON'T LET NOBODY HOLD YOU DOWN 	53 	164
   115	TALKING HEADS 	THIS MUST BE THE PLACE 	51 	163
   116	SPECIAL AKA 	WHAT I LIKE MOST ABOUT YOU IS YOUR GIRLFRIEND 	51 	163
   117	KING KURT 	MACK THE KNIFE 	55 	163
   118	CLIFF RICHARD 	SHOOTING FROM THE HEART 	51 	163
   119	BOOMTOWN RATS 	DRAG ME DOWN 	50 	162
   120	KING KURT 	BANANA BANANA 	54 	161
   121	JOE JACKSON 	HAPPY ENDING 	58 	161
   122	MALCOLM X AND KEITH LE BLANC 	NO SELLOUT 	60 	157
   123	PRETENDERS 	THIN LINE BETWEEN LOVE AND HATE 	49 	156
   124	BOBBY WOMACK 	TELL ME WHY 	60 	156
   125	SURFACE 	WHEN YOUR 'EX' WANTS YOU BACK 	52 	155
   126	PAUL HARDCASTLE 	EAT YOUR HEART OUT 	59 	155
   127	ICICLE WORKS 	BIRDS FLY (WHISPER TO A SCREAM) {1984} 	53 	155
   128	SHALAMAR 	DANCING IN THE SHEETS 	41 	153
   129	NICK LOWE 	HALF A BOY AND HALF A MAN 	53 	153
   130	DIO 	WE ROCK 	42 	151
   131	KISS 	HEAVEN'S ON FIRE 	43 	150
   132	HAYWOODE 	I CAN'T LET YOU GO 	63 	149
   133	GENESIS 	ILLEGAL ALIEN 	46 	149
   134	BOOTHILL FOOT-TAPPERS 	GET YOUR FEET OUT OF MY SHOES 	64 	149
   135	ALICIA MYERS 	YOU GET THE BEST FROM ME (SAY, SAY, SAY) 	58 	149
   136	SHAKATAK 	DON'T BLAME IT ON LOVE 	55 	148
   137	PATRICE RUSHEN 	FEELS SO REAL (WON'T LET GO) 	51 	148
   138	HERBIE HANCOCK 	FUTURE SHOCK 	54 	148
   139	ROGER DALTREY 	WALKING IN MY SLEEP 	56 	147
   140	DAVID AUSTIN 	TURN TO GOLD 	68 	147
   141	ROSE MARIE 	WHEN I LEAVE THE WORLD BEHIND 	63 	146
   142	DIRE STRAITS 	LOVE OVER GOLD (LIVE) 	50 	146
   143	BILLY GRIFFIN 	SERIOUS 	64 	145
   144	EDDY GRANT 	ROMANCING THE STONE 	52 	144
   145	JUDAS PRIEST 	FREEWHEEL BURNING 	42 	143
   146	JETS 	ROCKIN' AROUND THE CHRISTMAS TREE 	62 	143
   147	STEVIE WONDER 	DON'T DRIVE DRUNK 	62 	142
   148	SISTERS OF MERCY 	WALK AWAY 	45 	142
   149	LOOSE ENDS 	CHOOSE ME (RESCUE ME) 	59 	142
   150	JERMAINE JACKSON 	SWEETEST SWEETEST 	52 	142
   151	CLINT EASTWOOD AND GENERAL SAINT 	LAST PLANE (ONE WAY TICKET) 	51 	142
   152	SIOUXSIE AND THE BANSHEES 	THE THORN EP 	47 	141
   153	IMPOSTER 	PEACE IN OUR TIME 	48 	141
   154	ELTON JOHN 	WHO WEARS THESE SHOES 	50 	141
   155	CHINA CRISIS 	HANNA HANNA 	44 	141
   156	GEORGE MCCRAE 	ONE STEP CLOSER (TO LOVE) 	57 	139
   157	WORLD PREMIERE 	SHARE THE NIGHT 	64 	138
   158	JUNIOR 	SOMEBODY 	64 	138
   159	SISTERS OF MERCY 	BODY AND SOUL/TRAIN 	46 	136
   160	HAROLD MELVIN AND THE BLUENOTES 	DON'T GIVE ME UP 	59 	136
   161	FARMER'S BOYS 	PHEW WOW 	59 	136
   162	GENERAL PUBLIC 	GENERAL PUBLIC 	60 	135
   163	STEVE WRIGHT 	THE GAY GAVALIEROS 	61 	133
   164	MARC ALMOND 	YOU HAVE 	57 	133
   165	EARTHA KITT 	I LOVE MEN 	50 	133
   166	GERARD KENNY 	THE OTHER WOMAN, THE OTHER MAN 	69 	131
   167	YARBROUGH & PEOPLES 	DON'T WASTE YOUR TIME 	60 	130
   168	WHODINI 	THE WHODINI ELECTRO EP 	63 	130
   169	GARY PORTNOY 	THEME TO 'CHEERS' 	58 	129
   170	THS - THE HORNE SECTION 	LADY SHINE (SHINE ON) 	54 	128
   171	VISAGE 	LOVE GLOVE 	54 	127
   172	JOCELYN BROWN 	I WISH YOU WOULD 	51 	127
   173	BING CROSBY AND GRACE KELLY 	TRUE LOVE {1983} 	70 	127
   174	TRACIE 	(I LOVE YOU) WHEN YOU SLEEP 	59 	126
   175	BREEKOUT KREW 	MATT'S MOOD 	51 	126
   176	ASWAD 	CHASING FOR THE BREEZE 	51 	126
   177	MIKE OLDFIELD 	CRIME OF PASSION 	61 	125
   178	KENNY G 	HI HOW YA DOIN 	70 	125
   179	SECOND IMAGE 	SING AND SHOUT 	53 	124
   180	TOM ROBINSON 	RIKKI DON'T LOSE THAT NUMBER 	58 	123
   181	EVELYN THOMAS 	MASQUERADE 	60 	123
   182	BILLY IDOL 	FLESH FOR FANTASY 	54 	123
   183	KERRI AND MICK 	SONS AND DAUGHTERS THEME 	68 	122
   184	SPEAR OF DESTINY 	PRISONER OF LOVE 	59 	121
   185	MIQUEL BROWN 	HE'S A SAINT, HE'S A SINNER 	68 	120
   186	KIM WILDE 	THE TOUCH 	56 	119
   187	TRACEY ULLMAN 	HELPLESS 	61 	118
   188	PAUL HARDCASTLE 	GUILTY 	55 	118
   189	BOBBY NUNN 	DON'T KNOCK IT 	65 	118
   190	SIMPLICIOUS 	LET HER FEEL IT 	65 	117
   191	CYNDI LAUPER 	ALL THROUGH THE NIGHT 	64 	117
   192	HANOI ROCKS 	UP AROUND THE BEND 	61 	116
   193	FRIENDS AGAIN 	THE FRIENDS AGAIN EP 	59 	116
   194	FIAT LUX 	SECRETS 	65 	116
   195	BEATLES 	A HARD DAY'S NIGHT {1984} 	52 	116
   196	ASWAD 	54 46 WAS MY NUMBER 	70 	116
   197	COMSAT ANGELS 	INDEPENDENCE DAY 	71 	115
   198	THIS MORTAL COIL 	SONG TO THE SIREN 	66 	114
   199	JIM STEINMAN AND FIRE INC 	TONIGHT IS WHAT IT MEANS TO BE YOU 	67 	114
   200	MTUME 	PRIME TIME 	57 	113
   201	MILLIE JACKSON 	I FEEL LIKE WALKING IN THE RAIN 	55 	113
   202	DAVID JOSEPH 	JOYS OF LIFE 	61 	113
   203	SPIDER 	HERE WE GO ROCK 'N' ROLL 	57 	112
   204	RUSH 	THE BODY ELECTRIC 	56 	112
   205	PREFAB SPROUT 	DON'T SING 	62 	112
   206	SIVUCA 	AIN'T NO SUNSHINE 	56 	111
   207	KILLING JOKE 	A NEW DAY 	56 	111
   208	BILLY IDOL 	REBEL YELL 	62 	111
   209	SHALAMAR 	DEADLINE USA 	52 	110
   210	BANANARAMA 	HOT LINE TO HEAVEN 	58 	110
   211	ROCK GODDESS 	I DIDN'T KNOW I LOVED YOU (TILL I SAW YOU ROCK AND ROLL) 	57 	108
   212	LAURA BRANIGAN 	THE LUCKY ONE 	56 	108
   213	JETS 	PARTY DOLL 	72 	108
   214	GAP BAND 	JAMMIN' IN AMERICA 	64 	107
   215	CRUSADERS 	NIGHT LADIES 	55 	107
   216	STAPLE SINGERS 	SLIPPERY PEOPLE 	78 	105
   217	VAN HALEN 	PANAMA 	61 	104
   218	ROLLING STONES 	BROWN SUGAR 	58 	104
   219	SPEAR OF DESTINY 	LIBERATOR 	67 	103
   220	EVERYTHING BUT THE GIRL 	MINE 	58 	103
   221	PSYCHEDELIC FURS 	THE GHOST IN YOU 	68 	102
   222	NENA 	JUST A DREAM 	70 	102
   223	HAZELL DEAN 	EVERGREEN/JEALOUS LOVE 	63 	102
   224	DARYL HALL AND JOHN OATES 	ADULT EDUCATION 	63 	102
   225	COOL NOTES 	I FORGOT 	63 	102
   226	BOB MARLEY & THE WAILERS 	COULD YOU BE LOVED {1984} 	71 	102
   227	ARMOURY SHOW 	CASTLES IN SPAIN 	69 	102
   228	SWITCH 	KEEPING SECRETS 	61 	101
   229	INTAFERON 	STEAMHAMMER SAM 	77 	100
   230	FICTION FACTORY 	GHOST OF LOVE 	64 	100
   231	LIMAHL 	TOO MUCH TROUBLE 	64 	99
   232	EVERYTHING BUT THE GIRL 	NATIVE LAND 	73 	99
   233	ALAN PARSONS PROJECT 	DON'T ANSWER ME 	58 	99
   234	GARY MOORE 	HOLD ON TO LOVE 	65 	98
   235	DONNA SUMMER 	STOP LOOK AND LISTEN 	57 	98
   236	ORANGE JUICE 	BRIDGE 	67 	97
